Params;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_algorithm;param_n_neighbors;param_weights;params;split0_test_score;split1_test_score;split2_test_score;mean_test_score;std_test_score;rank_test_score;split0_train_score;split1_train_score;split2_train_score;mean_train_score;std_train_score
{'algorithm': 'auto', 'n_neighbors': 2, 'weights': 'distance'};0.40401164690653485;0.0694317094300964;8.495795408884684;0.7111460563319407;auto;2;distance;{'algorithm': 'auto', 'n_neighbors': 2, 'weights': 'distance'};0.8010973936899863;0.9119669876203577;0.7980636237897649;0.8370812299219825;0.05300314855631336;1;1.0;1.0;1.0;1.0;0.0
{'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'distance'};0.4515076478322347;0.0016181179480917766;8.040184179941813;0.29694755687710406;auto;5;distance;{'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'distance'};0.8203017832647462;0.8775790921595599;0.8118948824343015;0.8366223038090868;0.029183184436010423;2;1.0;1.0;1.0;1.0;0.0
Params;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_algorithm;param_n_neighbors;param_weights;params;split0_test_score;split1_test_score;split2_test_score;mean_test_score;std_test_score;rank_test_score;split0_train_score;split1_train_score;split2_train_score;mean_train_score;std_train_score
{'algorithm': 'auto', 'n_neighbors': 2, 'weights': 'uniform'};0.3853866259256999;0.058444468315176266;8.062048514684042;0.4605436725627831;auto;2;uniform;{'algorithm': 'auto', 'n_neighbors': 2, 'weights': 'uniform'};0.7846364883401921;0.9009628610729024;0.8091286307053942;0.8315741165672327;0.05010633518972848;9;0.9979310344827587;0.9931129476584022;0.9951923076923077;0.995412096611156;0.001973105933698745
{'algorithm': 'auto', 'n_neighbors': 2, 'weights': 'distance'};0.577138344446818;0.0822206011813503;9.499162515004477;0.16034019748168776;auto;2;distance;{'algorithm': 'auto', 'n_neighbors': 2, 'weights': 'distance'};0.8010973936899863;0.9119669876203577;0.7980636237897649;0.8370812299219825;0.05300314855631336;1;1.0;1.0;1.0;1.0;0.0
{'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'uniform'};0.5865716139475504;0.040969352801458525;9.654513915379843;0.6870456390671807;auto;5;uniform;{'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'uniform'};0.8257887517146777;0.8707015130674003;0.8118948824343015;0.8361633776961909;0.025088262097607117;7;0.9820689655172414;0.9800275482093664;0.9842032967032966;0.9820999368099681;0.0017048828477581634
{'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'distance'};0.6974196434020996;0.1315922870963433;9.988303263982138;1.0403171118201795;auto;5;distance;{'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'distance'};0.8203017832647462;0.8775790921595599;0.8118948824343015;0.8366223038090868;0.029183184436010423;3;1.0;1.0;1.0;1.0;0.0
{'algorithm': 'auto', 'n_neighbors': 10, 'weights': 'uniform'};0.813255230585734;0.0813312803543767;10.578884045282999;1.3101875626725623;auto;10;uniform;{'algorithm': 'auto', 'n_neighbors': 10, 'weights': 'uniform'};0.823045267489712;0.8376891334250344;0.8243430152143845;0.8283616337769619;0.006621299092014555;11;0.973103448275862;0.9676308539944903;0.9745879120879121;0.9717740714527547;0.0029917215091172502
{'algorithm': 'auto', 'n_neighbors': 10, 'weights': 'distance'};0.6599551836649576;0.13391568142058802;8.837438344955444;0.614184800960489;auto;10;distance;{'algorithm': 'auto', 'n_neighbors': 10, 'weights': 'distance'};0.8257887517146777;0.8541953232462174;0.8298755186721992;0.8366223038090868;0.012545934462708649;3;1.0;1.0;1.0;1.0;0.0
{'algorithm': 'brute', 'n_neighbors': 2, 'weights': 'uniform'};0.03928144772847494;0.008504821758072585;0.1388248602549235;0.007342761488961828;brute;2;uniform;{'algorithm': 'brute', 'n_neighbors': 2, 'weights': 'uniform'};0.7846364883401921;0.9009628610729024;0.8091286307053942;0.8315741165672327;0.05010633518972848;9;0.9979310344827587;0.9931129476584022;0.9951923076923077;0.995412096611156;0.001973105933698745
{'algorithm': 'brute', 'n_neighbors': 2, 'weights': 'distance'};0.03560137748718262;0.004130509466318156;0.14723126093546549;0.01701992628708723;brute;2;distance;{'algorithm': 'brute', 'n_neighbors': 2, 'weights': 'distance'};0.8010973936899863;0.9119669876203577;0.7980636237897649;0.8370812299219825;0.05300314855631336;1;1.0;1.0;1.0;1.0;0.0
{'algorithm': 'brute', 'n_neighbors': 5, 'weights': 'uniform'};0.033611138661702476;0.001463960244826529;0.17060701052347818;0.02457183317608003;brute;5;uniform;{'algorithm': 'brute', 'n_neighbors': 5, 'weights': 'uniform'};0.8257887517146777;0.8707015130674003;0.8118948824343015;0.8361633776961909;0.025088262097607117;7;0.9820689655172414;0.9800275482093664;0.9842032967032966;0.9820999368099681;0.0017048828477581634
{'algorithm': 'brute', 'n_neighbors': 5, 'weights': 'distance'};0.035292863845825195;0.0024849548634054467;0.15118821461995444;0.003873666497641745;brute;5;distance;{'algorithm': 'brute', 'n_neighbors': 5, 'weights': 'distance'};0.8203017832647462;0.8775790921595599;0.8118948824343015;0.8366223038090868;0.029183184436010423;3;1.0;1.0;1.0;1.0;0.0
{'algorithm': 'brute', 'n_neighbors': 10, 'weights': 'uniform'};0.03278374671936035;0.0006296310123946648;0.15958635012308756;0.02310913377946025;brute;10;uniform;{'algorithm': 'brute', 'n_neighbors': 10, 'weights': 'uniform'};0.823045267489712;0.8376891334250344;0.8243430152143845;0.8283616337769619;0.006621299092014555;11;0.973103448275862;0.9676308539944903;0.9745879120879121;0.9717740714527547;0.0029917215091172502
{'algorithm': 'brute', 'n_neighbors': 10, 'weights': 'distance'};0.05736684799194336;0.0353053597132685;0.347598393758138;0.2707371098762413;brute;10;distance;{'algorithm': 'brute', 'n_neighbors': 10, 'weights': 'distance'};0.8257887517146777;0.8541953232462174;0.8298755186721992;0.8366223038090868;0.012545934462708649;3;1.0;1.0;1.0;1.0;0.0
