Params;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_max_depth;param_max_features;param_n_estimators;param_random_state;params;split0_test_score;split1_test_score;split2_test_score;mean_test_score;std_test_score;rank_test_score;split0_train_score;split1_train_score;split2_train_score;mean_train_score;std_train_score
{'max_depth': None, 'max_features': 1, 'n_estimators': 10, 'random_state': 17};0.006682395935058594;0.0006115226326812183;0.0014987786610921223;0.00040280117851872817;;1;10;17;{'max_depth': None, 'max_features': 1, 'n_estimators': 10, 'random_state': 17};0.5;0.6;0.5833333333333334;0.5584415584415584;0.044674821299892406;15;1.0;1.0;1.0;1.0;0.0
{'max_depth': None, 'max_features': 1, 'n_estimators': 10, 'random_state': 42};0.0070120493570963545;3.688653827242614e-05;0.0015034675598144531;0.0004088028438472674;;1;10;42;{'max_depth': None, 'max_features': 1, 'n_estimators': 10, 'random_state': 42};0.42857142857142855;0.52;0.5416666666666666;0.4935064935064935;0.04984092308522931;18;1.0;0.9807692307692307;0.9811320754716981;0.9873004354136429;0.008981169915692788
{'max_depth': None, 'max_features': 1, 'n_estimators': 50, 'random_state': 17};0.03160405158996582;0.0025019190917847834;0.004196723302205403;0.000261761836799698;;1;50;17;{'max_depth': None, 'max_features': 1, 'n_estimators': 50, 'random_state': 17};0.7142857142857143;0.72;0.6666666666666666;0.7012987012987013;0.023424674040638426;1;1.0;1.0;1.0;1.0;0.0
{'max_depth': None, 'max_features': 1, 'n_estimators': 50, 'random_state': 42};0.03530470530192057;0.005252366926481032;0.004520495732625325;1.3795810893776532e-05;;1;50;42;{'max_depth': None, 'max_features': 1, 'n_estimators': 50, 'random_state': 42};0.6071428571428571;0.68;0.75;0.6753246753246753;0.05861446283842474;3;1.0;1.0;1.0;1.0;0.0
{'max_depth': None, 'max_features': 1, 'n_estimators': 100, 'random_state': 17};0.05799055099487305;0.0006180174729955741;0.00803844134012858;0.0004102063692651388;;1;100;17;{'max_depth': None, 'max_features': 1, 'n_estimators': 100, 'random_state': 17};0.6785714285714286;0.72;0.625;0.6753246753246753;0.037963418135697306;3;1.0;1.0;1.0;1.0;0.0
{'max_depth': None, 'max_features': 1, 'n_estimators': 100, 'random_state': 42};0.06185015042622884;0.004663483339692897;0.007518212000528972;0.0004099733161022371;;1;100;42;{'max_depth': None, 'max_features': 1, 'n_estimators': 100, 'random_state': 42};0.5357142857142857;0.72;0.7083333333333334;0.6493506493506493;0.08602691249461965;5;1.0;1.0;1.0;1.0;0.0
{'max_depth': 5, 'max_features': 1, 'n_estimators': 10, 'random_state': 17};0.006368239720662435;0.000250116834558036;0.0011514822642008464;0.0002478967295808411;5;1;10;17;{'max_depth': 5, 'max_features': 1, 'n_estimators': 10, 'random_state': 17};0.4642857142857143;0.72;0.6666666666666666;0.6103896103896104;0.11247333098436141;11;1.0;0.9807692307692307;1.0;0.9935897435897436;0.009065471553673706
{'max_depth': 5, 'max_features': 1, 'n_estimators': 10, 'random_state': 42};0.006516853968302409;0.00040938857542204736;0.001173098882039388;0.00023682957527578085;5;1;10;42;{'max_depth': 5, 'max_features': 1, 'n_estimators': 10, 'random_state': 42};0.4642857142857143;0.68;0.625;0.5844155844155844;0.09342077600715513;12;0.9795918367346939;0.9807692307692307;0.9811320754716981;0.9804977143252076;0.0006574570841625877
{'max_depth': 5, 'max_features': 1, 'n_estimators': 50, 'random_state': 17};0.0282593568166097;0.0002572148158916281;0.0046736399332682295;0.0009414508658279478;5;1;50;17;{'max_depth': 5, 'max_features': 1, 'n_estimators': 50, 'random_state': 17};0.5;0.6;0.625;0.5714285714285714;0.05490757962755767;14;1.0;1.0;1.0;1.0;0.0
{'max_depth': 5, 'max_features': 1, 'n_estimators': 50, 'random_state': 42};0.028229236602783203;0.0002442141884004913;0.004518667856852214;0.00039766452891375496;5;1;50;42;{'max_depth': 5, 'max_features': 1, 'n_estimators': 50, 'random_state': 42};0.6071428571428571;0.68;0.625;0.6363636363636364;0.031128220296641296;7;1.0;1.0;1.0;1.0;0.0
{'max_depth': 5, 'max_features': 1, 'n_estimators': 100, 'random_state': 17};0.056140502293904625;0.00043240701682902667;0.007538159688313802;2.5740620080185248e-05;5;1;100;17;{'max_depth': 5, 'max_features': 1, 'n_estimators': 100, 'random_state': 17};0.39285714285714285;0.64;0.5833333333333334;0.5324675324675324;0.10792772996384267;16;1.0;1.0;1.0;1.0;0.0
{'max_depth': 5, 'max_features': 1, 'n_estimators': 100, 'random_state': 42};0.05564673741658529;9.98958356378598e-07;0.007353544235229492;0.0002363598471096352;5;1;100;42;{'max_depth': 5, 'max_features': 1, 'n_estimators': 100, 'random_state': 42};0.5714285714285714;0.68;0.6666666666666666;0.6363636363636364;0.04937342832686843;7;1.0;1.0;1.0;1.0;0.0
{'max_depth': 10, 'max_features': 1, 'n_estimators': 10, 'random_state': 17};0.007188002268473308;0.0009231066832532844;0.0011670589447021484;0.00023809124410497325;10;1;10;17;{'max_depth': 10, 'max_features': 1, 'n_estimators': 10, 'random_state': 17};0.5;0.68;0.5833333333333334;0.5844155844155844;0.07455194022799158;12;1.0;1.0;1.0;1.0;0.0
{'max_depth': 10, 'max_features': 1, 'n_estimators': 10, 'random_state': 42};0.006535053253173828;0.00038874678772408456;0.0014885266621907551;2.6132194137730407e-05;10;1;10;42;{'max_depth': 10, 'max_features': 1, 'n_estimators': 10, 'random_state': 42};0.4642857142857143;0.48;0.5833333333333334;0.5064935064935064;0.05211553089228206;17;1.0;1.0;0.9811320754716981;0.9937106918238993;0.008894424920585502
{'max_depth': 10, 'max_features': 1, 'n_estimators': 50, 'random_state': 17};0.02957781155904134;0.0004082194590591316;0.004346291224161784;0.0002373206235643262;10;1;50;17;{'max_depth': 10, 'max_features': 1, 'n_estimators': 50, 'random_state': 17};0.7142857142857143;0.72;0.6666666666666666;0.7012987012987013;0.023424674040638426;1;1.0;1.0;1.0;1.0;0.0
{'max_depth': 10, 'max_features': 1, 'n_estimators': 50, 'random_state': 42};0.03143207232157389;0.004039747333042772;0.003995736440022786;0.000413828100131359;10;1;50;42;{'max_depth': 10, 'max_features': 1, 'n_estimators': 50, 'random_state': 42};0.5357142857142857;0.68;0.75;0.6493506493506493;0.09032278467215626;5;1.0;1.0;1.0;1.0;0.0
{'max_depth': 10, 'max_features': 1, 'n_estimators': 100, 'random_state': 17};0.05953439076741537;0.0032129103859089483;0.007533868153889974;1.6035409666877225e-05;10;1;100;17;{'max_depth': 10, 'max_features': 1, 'n_estimators': 100, 'random_state': 17};0.5357142857142857;0.64;0.7083333333333334;0.6233766233766234;0.07165057981866614;10;1.0;1.0;1.0;1.0;0.0
{'max_depth': 10, 'max_features': 1, 'n_estimators': 100, 'random_state': 42};0.05800628662109375;0.0015487240128993951;0.007685502370198567;0.00047126198281937504;10;1;100;42;{'max_depth': 10, 'max_features': 1, 'n_estimators': 100, 'random_state': 42};0.5;0.72;0.7083333333333334;0.6363636363636364;0.10318615663019043;7;1.0;1.0;1.0;1.0;0.0
